timestamp,datetime,wagon_id,train_id,event,track_id,status,rejection_reason,rejection_description
360.0,2025-12-01T06:00:00+00:00,W11188,T1,ARRIVED,collection1,ARRIVED,,
360.0,2025-12-01T06:00:00+00:00,W10437,T1,ARRIVED,collection1,ARRIVED,,
420.0,2025-12-01T07:00:00+00:00,W11188,,RAKE_COUPLING_STARTED,collection1,COUPLING,,
420.0,2025-12-01T07:00:00+00:00,W10437,,RAKE_COUPLING_STARTED,collection1,COUPLING,,
425.0,2025-12-01T07:05:00+00:00,W11188,,MOVING,collection1,MOVING,,
425.0,2025-12-01T07:05:00+00:00,W10437,,MOVING,collection1,MOVING,,
442.25,2025-12-01T07:22:15+00:00,W12394,T2,ARRIVED,collection1,ARRIVED,,
442.25,2025-12-01T07:22:15+00:00,W9278,T2,ARRIVED,collection1,ARRIVED,,
485.0,2025-12-01T08:05:00+00:00,W11188,,ON_RETROFIT_TRACK,retrofit,WAITING,,
485.0,2025-12-01T08:05:00+00:00,W10437,,ON_RETROFIT_TRACK,retrofit,WAITING,,
495.0,2025-12-01T08:15:00+00:00,W11188,,MOVING,retrofit,MOVING,,
495.0,2025-12-01T08:15:00+00:00,W10437,,MOVING,retrofit,MOVING,,
500.0,2025-12-01T08:20:00+00:00,W11188,,AT_WORKSHOP,WS_01,ARRIVED,,
500.0,2025-12-01T08:20:00+00:00,W10437,,AT_WORKSHOP,WS_01,ARRIVED,,
502.5,2025-12-01T08:22:30+00:00,W3926,T3,ARRIVED,collection1,ARRIVED,,
502.5,2025-12-01T08:22:30+00:00,W5834,T3,ARRIVED,collection1,ARRIVED,,
506.0,2025-12-01T08:26:00+00:00,W11188,,RETROFIT_STARTED,WS_01,PROCESSING,,
506.0,2025-12-01T08:26:00+00:00,W10437,,RETROFIT_STARTED,WS_01,PROCESSING,,
541.5,2025-12-01T09:01:30+00:00,W9460,T4,ARRIVED,collection1,ARRIVED,,
541.5,2025-12-01T09:01:30+00:00,W9445,T4,ARRIVED,collection1,ARRIVED,,
559.0,2025-12-01T09:19:00+00:00,W12394,,RAKE_COUPLING_STARTED,collection1,COUPLING,,
559.0,2025-12-01T09:19:00+00:00,W9278,,RAKE_COUPLING_STARTED,collection1,COUPLING,,
564.0,2025-12-01T09:24:00+00:00,W12394,,MOVING,collection1,MOVING,,
564.0,2025-12-01T09:24:00+00:00,W9278,,MOVING,collection1,MOVING,,
566.0,2025-12-01T09:26:00+00:00,W11188,,RETROFIT_COMPLETED,WS_01,COMPLETED,,
566.0,2025-12-01T09:26:00+00:00,W10437,,RETROFIT_COMPLETED,WS_01,COMPLETED,,
571.5,2025-12-01T09:31:30+00:00,W11188,,RAKE_COUPLING_STARTED,WS_01,COUPLING,,
571.5,2025-12-01T09:31:30+00:00,W10437,,RAKE_COUPLING_STARTED,WS_01,COUPLING,,
573.5,2025-12-01T09:33:30+00:00,W11188,,RAKE_COUPLING_COMPLETED,WS_01,WAITING,,
573.5,2025-12-01T09:33:30+00:00,W10437,,RAKE_COUPLING_COMPLETED,WS_01,WAITING,,
573.5,2025-12-01T09:33:30+00:00,W11188,,MOVING,WS_01,MOVING,,
573.5,2025-12-01T09:33:30+00:00,W10437,,MOVING,WS_01,MOVING,,
578.5,2025-12-01T09:38:30+00:00,W11188,,ON_RETROFITTED_TRACK,retrofitted,WAITING,,
578.5,2025-12-01T09:38:30+00:00,W10437,,ON_RETROFITTED_TRACK,retrofitted,WAITING,,
624.0,2025-12-01T10:24:00+00:00,W12394,,ON_RETROFIT_TRACK,retrofit,WAITING,,
624.0,2025-12-01T10:24:00+00:00,W9278,,ON_RETROFIT_TRACK,retrofit,WAITING,,
648.0,2025-12-01T10:48:00+00:00,W12394,,MOVING,retrofit,MOVING,,
648.0,2025-12-01T10:48:00+00:00,W9278,,MOVING,retrofit,MOVING,,
653.0,2025-12-01T10:53:00+00:00,W12394,,AT_WORKSHOP,WS_01,ARRIVED,,
