timestamp,datetime,resource_id,resource_type,location,previous_location,route_path
360.0,2025-12-01T06:00:00+00:00,W11188,wagon,collection1,,
360.0,2025-12-01T06:00:00+00:00,W10437,wagon,collection1,,
360.0,2025-12-01T06:00:00+00:00,LOCO_01,locomotive,collection1,track_19,
425.0,2025-12-01T07:05:00+00:00,LOCO_01,locomotive,retrofit,collection1,
425.0,2025-12-01T07:05:00+00:00,W11188,wagon,collection1,,collection1|Mainline|retrofit
425.0,2025-12-01T07:05:00+00:00,W10437,wagon,collection1,,collection1|Mainline|retrofit
442.25,2025-12-01T07:22:15+00:00,W12394,wagon,collection1,,
442.25,2025-12-01T07:22:15+00:00,W9278,wagon,collection1,,
485.0,2025-12-01T08:05:00+00:00,W11188,wagon,retrofit,,
485.0,2025-12-01T08:05:00+00:00,W10437,wagon,retrofit,,
487.0,2025-12-01T08:07:00+00:00,LOCO_02,locomotive,retrofit,track_19,
494.0,2025-12-01T08:14:00+00:00,LOCO_01,locomotive,track_19,retrofit,
495.0,2025-12-01T08:15:00+00:00,LOCO_02,locomotive,WS_01,retrofit,
495.0,2025-12-01T08:15:00+00:00,W11188,wagon,retrofit,,retrofit|WS_01
495.0,2025-12-01T08:15:00+00:00,W10437,wagon,retrofit,,retrofit|WS_01
499.0,2025-12-01T08:19:00+00:00,LOCO_01,locomotive,collection1,track_19,
500.0,2025-12-01T08:20:00+00:00,W11188,wagon,WS_01,,
500.0,2025-12-01T08:20:00+00:00,W10437,wagon,WS_01,,
502.5,2025-12-01T08:22:30+00:00,W3926,wagon,collection1,,
502.5,2025-12-01T08:22:30+00:00,W5834,wagon,collection1,,
506.0,2025-12-01T08:26:00+00:00,W11188,wagon,WS_01,,
506.0,2025-12-01T08:26:00+00:00,W10437,wagon,WS_01,,
506.0,2025-12-01T08:26:00+00:00,LOCO_02,locomotive,track_19,WS_01,
541.5,2025-12-01T09:01:30+00:00,W9460,wagon,collection1,,
541.5,2025-12-01T09:01:30+00:00,W9445,wagon,collection1,,
564.0,2025-12-01T09:24:00+00:00,LOCO_01,locomotive,retrofit,collection1,
564.0,2025-12-01T09:24:00+00:00,W12394,wagon,collection1,,collection1|Mainline|retrofit
564.0,2025-12-01T09:24:00+00:00,W9278,wagon,collection1,,collection1|Mainline|retrofit
566.5,2025-12-01T09:26:30+00:00,LOCO_02,locomotive,WS_01,track_19,
573.5,2025-12-01T09:33:30+00:00,LOCO_02,locomotive,retrofitted,WS_01,
573.5,2025-12-01T09:33:30+00:00,W11188,wagon,WS_01,,WS_01|retrofitted
573.5,2025-12-01T09:33:30+00:00,W10437,wagon,WS_01,,WS_01|retrofitted
578.5,2025-12-01T09:38:30+00:00,W11188,wagon,retrofitted,,
578.5,2025-12-01T09:38:30+00:00,W10437,wagon,retrofitted,,
578.5,2025-12-01T09:38:30+00:00,LOCO_02,locomotive,track_19,retrofitted,
623.5,2025-12-01T10:23:30+00:00,LOCO_02,locomotive,retrofitted,track_19,
624.0,2025-12-01T10:24:00+00:00,W12394,wagon,retrofit,,
624.0,2025-12-01T10:24:00+00:00,W9278,wagon,retrofit,,
630.5,2025-12-01T10:30:30+00:00,LOCO_02,locomotive,parking16,retrofitted,
633.0,2025-12-01T10:33:00+00:00,LOCO_01,locomotive,track_19,retrofit,
640.0,2025-12-01T10:40:00+00:00,LOCO_01,locomotive,retrofit,track_19,
648.0,2025-12-01T10:48:00+00:00,LOCO_01,locomotive,WS_01,retrofit,
648.0,2025-12-01T10:48:00+00:00,W12394,wagon,retrofit,,retrofit|WS_01
648.0,2025-12-01T10:48:00+00:00,W9278,wagon,retrofit,,retrofit|WS_01
653.0,2025-12-01T10:53:00+00:00,W12394,wagon,WS_01,,
653.0,2025-12-01T10:53:00+00:00,W9278,wagon,WS_01,,
659.0,2025-12-01T10:59:00+00:00,W12394,wagon,WS_01,,
659.0,2025-12-01T10:59:00+00:00,W9278,wagon,WS_01,,
659.0,2025-12-01T10:59:00+00:00,LOCO_01,locomotive,track_19,WS_01,
664.0,2025-12-01T11:04:00+00:00,LOCO_01,locomotive,collection1,track_19,
672.75,2025-12-01T11:12:45+00:00,W10704,wagon,collection1,,
672.75,2025-12-01T11:12:45+00:00,W3675,wagon,collection1,,
715.0,2025-12-01T11:55:00+00:00,W7132,wagon,collection1,,
715.0,2025-12-01T11:55:00+00:00,W8934,wagon,collection1,,
715.0,2025-12-01T11:55:00+00:00,W6253,wagon,collection1,,
715.0,2025-12-01T11:55:00+00:00,W7747,wagon,collection1,,
715.0,2025-12-01T11:55:00+00:00,W10546,wagon,collection1,,
715.0,2025-12-01T11:55:00+00:00,W7222,wagon,collection1,,
724.5,2025-12-01T12:04:30+00:00,W0689,wagon,collection1,,
725.0,2025-12-01T12:05:00+00:00,W11268,wagon,collection1,,
725.0,2025-12-01T12:05:00+00:00,W11509,wagon,collection1,,
725.0,2025-12-01T12:05:00+00:00,W6557,wagon,collection1,,
733.0,2025-12-01T12:13:00+00:00,LOCO_01,locomotive,retrofit,collection1,
733.0,2025-12-01T12:13:00+00:00,W3926,wagon,collection1,,collection1|Mainline|retrofit
733.0,2025-12-01T12:13:00+00:00,W5834,wagon,collection1,,collection1|Mainline|retrofit
733.0,2025-12-01T12:13:00+00:00,W9460,wagon,collection1,,collection1|Mainline|retrofit
733.0,2025-12-01T12:13:00+00:00,W9445,wagon,collection1,,collection1|Mainline|retrofit
752.0,2025-12-01T12:32:00+00:00,W11188,wagon,parking16,,
752.0,2025-12-01T12:32:00+00:00,W10437,wagon,parking16,,
752.0,2025-12-01T12:32:00+00:00,LOCO_02,locomotive,track_19,parking16,
753.25,2025-12-01T12:33:15+00:00,W10356,wagon,collection1,,
785.5,2025-12-01T13:05:30+00:00,W6006,wagon,collection1,,
785.5,2025-12-01T13:05:30+00:00,W4440,wagon,collection1,,
785.5,2025-12-01T13:05:30+00:00,W10383,wagon,collection1,,
793.0,2025-12-01T13:13:00+00:00,W3926,wagon,retrofit,,
793.0,2025-12-01T13:13:00+00:00,W5834,wagon,retrofit,,
793.0,2025-12-01T13:13:00+00:00,W9460,wagon,retrofit,,
793.0,2025-12-01T13:13:00+00:00,W9445,wagon,retrofit,,
812.0,2025-12-01T13:32:00+00:00,LOCO_02,locomotive,WS_01,track_19,
814.0,2025-12-01T13:34:00+00:00,LOCO_01,locomotive,track_19,retrofit,
819.0,2025-12-01T13:39:00+00:00,LOCO_02,locomotive,retrofitted,WS_01,
819.0,2025-12-01T13:39:00+00:00,W12394,wagon,WS_01,,WS_01|retrofitted
819.0,2025-12-01T13:39:00+00:00,W9278,wagon,WS_01,,WS_01|retrofitted
821.0,2025-12-01T13:41:00+00:00,LOCO_01,locomotive,retrofit,track_19,
824.0,2025-12-01T13:44:00+00:00,W12394,wagon,retrofitted,,
824.0,2025-12-01T13:44:00+00:00,W9278,wagon,retrofitted,,
824.0,2025-12-01T13:44:00+00:00,LOCO_02,locomotive,track_19,retrofitted,
829.0,2025-12-01T13:49:00+00:00,LOCO_01,locomotive,WS_02,retrofit,
829.0,2025-12-01T13:49:00+00:00,W3926,wagon,retrofit,,retrofit|WS_02
829.0,2025-12-01T13:49:00+00:00,W5834,wagon,retrofit,,retrofit|WS_02
831.0,2025-12-01T13:51:00+00:00,LOCO_02,locomotive,retrofit,track_19,
834.0,2025-12-01T13:54:00+00:00,W3926,wagon,WS_02,,
834.0,2025-12-01T13:54:00+00:00,W5834,wagon,WS_02,,
839.0,2025-12-01T13:59:00+00:00,LOCO_02,locomotive,WS_01,retrofit,
839.0,2025-12-01T13:59:00+00:00,W9460,wagon,retrofit,,retrofit|WS_01
839.0,2025-12-01T13:59:00+00:00,W9445,wagon,retrofit,,retrofit|WS_01
840.0,2025-12-01T14:00:00+00:00,W3926,wagon,WS_02,,
840.0,2025-12-01T14:00:00+00:00,W5834,wagon,WS_02,,
840.0,2025-12-01T14:00:00+00:00,LOCO_01,locomotive,track_19,WS_02,
844.0,2025-12-01T14:04:00+00:00,W9460,wagon,WS_01,,
844.0,2025-12-01T14:04:00+00:00,W9445,wagon,WS_01,,
845.0,2025-12-01T14:05:00+00:00,LOCO_01,locomotive,collection1,track_19,
850.0,2025-12-01T14:10:00+00:00,W9460,wagon,WS_01,,
850.0,2025-12-01T14:10:00+00:00,W9445,wagon,WS_01,,
850.0,2025-12-01T14:10:00+00:00,LOCO_02,locomotive,track_19,WS_01,
866.0,2025-12-01T14:26:00+00:00,W2238,wagon,collection1,,
866.0,2025-12-01T14:26:00+00:00,W0047,wagon,collection1,,
866.0,2025-12-01T14:26:00+00:00,W0049,wagon,collection1,,
870.0,2025-12-01T14:30:00+00:00,LOCO_02,locomotive,retrofitted,track_19,
877.0,2025-12-01T14:37:00+00:00,LOCO_02,locomotive,parking16,retrofitted,
894.75,2025-12-01T14:54:45+00:00,W2535,wagon,collection1,,
894.75,2025-12-01T14:54:45+00:00,W7970,wagon,collection1,,
894.75,2025-12-01T14:54:45+00:00,W4849,wagon,collection1,,
936.0,2025-12-01T15:36:00+00:00,LOCO_01,locomotive,retrofit,collection1,
936.0,2025-12-01T15:36:00+00:00,W10704,wagon,collection1,,collection1|Mainline|retrofit
936.0,2025-12-01T15:36:00+00:00,W3675,wagon,collection1,,collection1|Mainline|retrofit
936.0,2025-12-01T15:36:00+00:00,W7132,wagon,collection1,,collection1|Mainline|retrofit
936.0,2025-12-01T15:36:00+00:00,W8934,wagon,collection1,,collection1|Mainline|retrofit
936.0,2025-12-01T15:36:00+00:00,W6253,wagon,collection1,,collection1|Mainline|retrofit
936.0,2025-12-01T15:36:00+00:00,W7747,wagon,collection1,,collection1|Mainline|retrofit
936.0,2025-12-01T15:36:00+00:00,W10546,wagon,collection1,,collection1|Mainline|retrofit
936.0,2025-12-01T15:36:00+00:00,W7222,wagon,collection1,,collection1|Mainline|retrofit
936.0,2025-12-01T15:36:00+00:00,W0689,wagon,collection1,,collection1|Mainline|retrofit
936.0,2025-12-01T15:36:00+00:00,W11268,wagon,collection1,,collection1|Mainline|retrofit
936.0,2025-12-01T15:36:00+00:00,W11509,wagon,collection1,,collection1|Mainline|retrofit
936.0,2025-12-01T15:36:00+00:00,W6557,wagon,collection1,,collection1|Mainline|retrofit
936.0,2025-12-01T15:36:00+00:00,W10356,wagon,collection1,,collection1|Mainline|retrofit
936.0,2025-12-01T15:36:00+00:00,W6006,wagon,collection1,,collection1|Mainline|retrofit
936.0,2025-12-01T15:36:00+00:00,W4440,wagon,collection1,,collection1|Mainline|retrofit
996.0,2025-12-01T16:36:00+00:00,W10704,wagon,retrofit,,
996.0,2025-12-01T16:36:00+00:00,W3675,wagon,retrofit,,
996.0,2025-12-01T16:36:00+00:00,W7132,wagon,retrofit,,
996.0,2025-12-01T16:36:00+00:00,W8934,wagon,retrofit,,
996.0,2025-12-01T16:36:00+00:00,W6253,wagon,retrofit,,
996.0,2025-12-01T16:36:00+00:00,W7747,wagon,retrofit,,
996.0,2025-12-01T16:36:00+00:00,W10546,wagon,retrofit,,
996.0,2025-12-01T16:36:00+00:00,W7222,wagon,retrofit,,
996.0,2025-12-01T16:36:00+00:00,W0689,wagon,retrofit,,
996.0,2025-12-01T16:36:00+00:00,W11268,wagon,retrofit,,
996.0,2025-12-01T16:36:00+00:00,W11509,wagon,retrofit,,
996.0,2025-12-01T16:36:00+00:00,W6557,wagon,retrofit,,
996.0,2025-12-01T16:36:00+00:00,W10356,wagon,retrofit,,
996.0,2025-12-01T16:36:00+00:00,W6006,wagon,retrofit,,
996.0,2025-12-01T16:36:00+00:00,W4440,wagon,retrofit,,
998.5,2025-12-01T16:38:30+00:00,W12394,wagon,parking16,,
998.5,2025-12-01T16:38:30+00:00,W9278,wagon,parking16,,
998.5,2025-12-01T16:38:30+00:00,LOCO_02,locomotive,track_19,parking16,
1051.25,2025-12-01T17:31:15+00:00,W2967,wagon,collection1,,
1051.25,2025-12-01T17:31:15+00:00,W9776,wagon,collection1,,
1051.25,2025-12-01T17:31:15+00:00,W12208,wagon,collection1,,
1051.25,2025-12-01T17:31:15+00:00,W11348,wagon,collection1,,
1058.5,2025-12-01T17:38:30+00:00,LOCO_02,locomotive,WS_02,track_19,
1065.5,2025-12-01T17:45:30+00:00,LOCO_02,locomotive,retrofitted,WS_02,
1065.5,2025-12-01T17:45:30+00:00,W3926,wagon,WS_02,,WS_02|retrofitted
1065.5,2025-12-01T17:45:30+00:00,W5834,wagon,WS_02,,WS_02|retrofitted
1070.5,2025-12-01T17:50:30+00:00,W3926,wagon,retrofitted,,
1070.5,2025-12-01T17:50:30+00:00,W5834,wagon,retrofitted,,
1070.5,2025-12-01T17:50:30+00:00,LOCO_02,locomotive,track_19,retrofitted,
1075.5,2025-12-01T17:55:30+00:00,LOCO_02,locomotive,WS_01,track_19,
1082.5,2025-12-01T18:02:30+00:00,LOCO_02,locomotive,retrofitted,WS_01,
1082.5,2025-12-01T18:02:30+00:00,W9460,wagon,WS_01,,WS_01|retrofitted
1082.5,2025-12-01T18:02:30+00:00,W9445,wagon,WS_01,,WS_01|retrofitted
1083.0,2025-12-01T18:03:00+00:00,LOCO_01,locomotive,track_19,retrofit,
1087.5,2025-12-01T18:07:30+00:00,W9460,wagon,retrofitted,,
1087.5,2025-12-01T18:07:30+00:00,W9445,wagon,retrofitted,,
1087.5,2025-12-01T18:07:30+00:00,LOCO_02,locomotive,track_19,retrofitted,
1088.75,2025-12-01T18:08:45+00:00,W12037,wagon,collection1,,
1088.75,2025-12-01T18:08:45+00:00,W0440,wagon,collection1,,
1088.75,2025-12-01T18:08:45+00:00,W11988,wagon,collection1,,
1088.75,2025-12-01T18:08:45+00:00,W12260,wagon,collection1,,
1088.75,2025-12-01T18:08:45+00:00,W0130,wagon,collection1,,
